category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,registry,retired,status
forest,Costa Rica,2024-12-03 00:00:00+00:00,2024-12-20 00:00:00+00:00,FALSE,100000,,Costa Rica FCPF REDD+ Emission Reductions Program,ART126,REDD+,carbonplan,https://art.apx.com/mymodule/reg/prjView.asp?id1=126,Fondo Nacional de Financiamento Forestal (FONAFIFO),['art-trees'],art-trees,100000,registered
forest,Brazil,2015-02-11 00:00:00+00:00,2015-02-11 00:00:00+00:00,FALSE,7087396,,RMDLT Portel - Para REDD Project,VCS977,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/977,RMDLT Property Group Ltd.,['vm0015'],verra,6485582,unknown
forest,United States,2016-04-26 00:00:00+00:00,2021-11-01 00:00:00+00:00,FALSE,122277,2013-10-31 00:00:00+00:00,Rips Redwoods,CAR1015,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1015,"Rips Redwoods, LLC",['car-forest'],climate-action-reserve,50000,registered
forest,Papua New Guinea,2014-08-29 00:00:00+00:00,2014-08-29 00:00:00+00:00,FALSE,2175680,,April Salumei Rainforest Community Conservation Project,VCS1122,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/1122,Rainforest Project Management Limited.,"['vm0007', 'vm0010']",verra,1017005,unknown
land-use,United States,2018-07-12 00:00:00+00:00,2018-07-17 00:00:00+00:00,FALSE,14135,2016-08-31 00:00:00+00:00,Raven's Nest Nature Preserve,CAR1237,Avoided Grassland Conversion,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1237,Southern Plains Land Trust,['car-grassland'],climate-action-reserve,12148,registered
land-use,United States,2018-07-12 00:00:00+00:00,2018-09-05 00:00:00+00:00,FALSE,43226,2016-08-31 00:00:00+00:00,Heartland Ranch Phase 1,CAR1238,Avoided Grassland Conversion,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1238,Southern Plains Land Trust,['car-grassland'],climate-action-reserve,36298,registered
forest,Chile,2015-03-17 00:00:00+00:00,2021-04-07 00:00:00+00:00,FALSE,1393414,,Reforesting Degraded Lands in Chile through the use of Mycorrhizal Inoculation,VCS1055,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/1055,Mikro-Tek Inc.,['ar-acm0003'],verra,1201384,unknown
forest,DR Congo,2013-02-04 00:00:00+00:00,2013-02-04 00:00:00+00:00,FALSE,39929804,,The Mai Ndombe REDD+ Project,VCS934,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/934,Wildlife Works Carbon LLC,['vm0009'],verra,18421576,unknown
land-use,United States,2019-01-18 00:00:00+00:00,2019-02-06 00:00:00+00:00,FALSE,69843,2016-12-20 00:00:00+00:00,Bluesource - Carroll Avoided Grassland Conversion Project,CAR1247,Avoided Grassland Conversion,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1247,"Carroll MT Properties, LLC",['car-grassland'],climate-action-reserve,68353,registered
land-use,United States,2019-12-17 00:00:00+00:00,2021-12-31 00:00:00+00:00,FALSE,26354,2017-05-10 00:00:00+00:00,Lightning Creek Ranch,CAR1259,Avoided Grassland Conversion,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1259,The Nature Conservancy,['car-grassland'],climate-action-reserve,10603,registered
